id,book_id,isbn,authors,original_publication_year,title
2408,73968,380017601,Erich Segal,1970,"Love Story (Love Story, #1)"
2409,858513,688147321,Kevin Henkes,1991,Chrysanthemum
2410,11808950,62085611,Wendy Higgins,2012,"Sweet Evil (Sweet, #1)"
2411,21484,316952664,Herman Wouk,1971,"The Winds of War (The Henry Family, #1)"
2412,12341557,,"Stephen King, Jae Lee",2012,"The Wind Through the Keyhole (The Dark Tower, #4.5)"
2413,68527,60887184,Bernard Cornwell,2004,"The Last Kingdom (The Saxon Stories, #1)"
2414,81948,887307280,Michael E. Gerber,1985,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It
2415,281235,1416928170,"James Howe, Deborah Howe, Alan Daniel",1979,"Bunnicula (Bunnicula, #1)"
2416,66678,786939834,R.A. Salvatore,1990,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)"
2417,11947829,1250006333,Amanda Hocking,2012,"Ascend (Trylle, #3)"
2418,10822858,525952489,"Jussi Adler-Olsen, Lisa Hartford",2007,"The Keeper of Lost Causes (Department Q, #1)"
2419,23876,517405091,Gabriel García Márquez,1994,Of Love and Other Demons
2420,3992598,142312166X,Rick Riordan,2009,The Demigod Files (Percy Jackson and the Olympians)
2421,1297985,676979785,Oliver Sacks,2007,Musicophilia: Tales of Music and the Brain
2422,25526965,1501129740,Stephen King,2016,"End of Watch (Bill Hodges Trilogy, #3)"
2423,3684856,60590319,Christopher Moore,2009,Fool
2424,69136,743298853,John Connolly,2006,The Book of Lost Things
2425,49195,140003003X,Bill Clinton,2004,My Life
2426,59952,1569714029,"Frank Miller, Lynn Varley",1998,300
2427,6697305,545060494,Linda Sue Park,2010,"Storm Warning (The 39 Clues, #9)"
2428,6950688,1423128206,Ally Carter,2010,"Only the Good Spy Young (Gallagher Girls, #4)"
2429,455941,440241006,Lee Child,2003,"Persuader (Jack Reacher, #7)"
2430,58077,425212890,Charlaine Harris,2005,"Grave Sight (Harper Connelly, #1)"
2431,1991039,8203180728,"Jo Nesbø, Don Bartlett",1997,"Flaggermusmannen (Harry Hole, #1)"
2432,407234,515143804,Nora Roberts,2007,"Blood Brothers (Sign of Seven, #1)"
2433,10912,425185508,Jodi Picoult,1995,Picture Perfect
2434,294963,1591162203,"Nobuhiro Watsuki, Kenichiro Yagi",1994,"Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story (Rurouni Kenshin, #1)"
2435,9888775,1402262272,Miranda Kenneally,2011,Catching Jordan
2436,18600,60730552,Joe Simpson,1988,Touching the Void: The True Story of One Man's Miraculous Survival
2437,15784909,,Colleen Hoover,2013,"This Girl (Slammed, #3)"
2438,205330,670869392,Simms Taback,1997,There Was an Old Lady Who Swallowed a Fly
2439,2255,1932073205,Dan Millman,1980,Way of the Peaceful Warrior: A Book That Changes Lives
2440,12781,312270828,Salman Rushdie,1988,The Satanic Verses
2441,6178648,385523904,Barbara Demick,2009,Nothing to Envy: Ordinary Lives in North Korea
2442,866222,60753943,"Jack Welch, Suzy Welch",1992,Winning
2443,17158596,,Gail McHugh,2013,"Collide (Collide, #1)"
2444,3860977,618620117,Jonah Lehrer,2009,How We Decide
2445,91661,553381520,Laurie R. King,1994,"The Beekeeper's Apprentice (Mary Russell, #1)"
2446,356321,394805755,"Jean de Brunhoff, Merle S. Haas",1931,The Story of Babar
2447,8458018,385735332,Michael Scott,2011,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)"
2448,6316821,044101769X,Jim Butcher,2008,"First Lord's Fury (Codex Alera, #6)"
2449,6834410,385343663,Tom Rachman,2010,The Imperfectionists
2450,16151178,,Katja Millay,2012,The Sea of Tranquility
2451,9517,375714669,"Marjane Satrapi, Anjali Singh",2001,"Persepolis 2: The Story of a Return (Persepolis, #2)"
2452,64217,61020656,Terry Pratchett,1989,"Pyramids (Discworld, #7)"
2453,149302,586064176,Raymond E. Feist,1985,"Silverthorn (The Riftwar Saga, #3)"
2454,1314332,385613466,Jenny Downham,2007,Before I Die
2455,6728738,670021652,Elizabeth Gilbert,2009,Committed: A Skeptic Makes Peace with Marriage
2456,104378,142401765,Sarah Dessen,1999,Keeping the Moon
2457,18080920,62285637,Veronica Roth,2013,"The Transfer (Divergent, #0.1)"
2458,43887,765344319,Terry Goodkind,2004,"Chainfire (Sword of Truth, #9)"
2459,129650,375413405,"Julia Child, Simone Beck, Louisette Bertholle",1961,Mastering the Art of French Cooking
2460,9876989,1421540320,"Kazue Kato, John Werry",2009,"Blue Exorcist, Vol. 1  (Blue Exorcist, #1)"
2461,604803,765315238,Terry Goodkind,2007,"Confessor (Sword of Truth, #11)"
2462,88815,151013047,Mohsin Hamid,2007,The Reluctant Fundamentalist
2463,12432220,545284139,Jennifer A. Nielsen,2012,The False Prince (The Ascendance Trilogy #1)
2464,85386,449911659,John Updike,1960,"Rabbit, Run (Rabbit Angstrom #1)"
2465,56627,1400077427,Daniel Todd Gilbert,2006,Stumbling on Happiness
2466,400412,015694877X,T.S. Eliot,1922,The Waste Land and Other Poems
2467,201146,590319671,"Else Holmelund Minarik, Maurice Sendak",1957,Little Bear
2468,206172,146000110,Edgar Allan Poe,1842,The Pit and the Pendulum
2469,34529,055215315X,Terry Pratchett,1992,"Lords and Ladies (Discworld, #14; Witches #4)"
2470,62530,552152676,Terry Pratchett,2006,"Thud! (Discworld, #34; City Watch #7)"
2471,28876,345481283,Naomi Novik,2006,"His Majesty's Dragon (Temeraire, #1)"
2472,444304,689859368,"Holly Black, Tony DiTerlizzi",2003,"The Field Guide (The Spiderwick Chronicles, #1)"
2473,7497897,1601422210,David Platt,2010,Radical: Taking Back Your Faith from the American Dream
2474,1303,140280197,"Robert Greene, Joost Elffers",1988,The 48 Laws of Power
2475,41667,142401110,Jean Craighead George,1959,"My Side of the Mountain (Mountain, #1)"
2476,3392089,749080973,"Susanna Kearsley, Rosalyn Landor",2008,"The Winter Sea (Slains, #1)"
2477,5861926,545135702,Peter Lerangis,2009,"The Sword Thief (The 39 Clues, #3)"
2478,85437,451159535,Robin Cook,1977,Coma
2479,46945,1560252480,"Hubert Selby Jr., Darren Aronofsky, Richard Price",1978,Requiem for a Dream
2480,111332,61284203,Erin Hunter,2003,"Into the Wild (Warriors, #1)"
2481,76401,805066691,Dee Brown,1970,Bury My Heart at Wounded Knee: An Indian History of the American West
2482,128066,057506708X,"Władysław Szpilman, Anthea Bell",1946,"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45"
2483,16033902,425267040,Maya Banks,2013,"Rush (Breathless, #1)"
2484,3052106,1411415930,"Ian Edginton, Oscar Wilde, I.N.J. Culbard",2009,The Picture of Dorian Gray: A Graphic Novel
2485,11557,671741039,Robert McCammon,1987,Swan Song
2486,22522805,030727103X,Kazuo Ishiguro,2015,The Buried Giant
2487,68494,345459407,China Miéville,2000,"Perdido Street Station (Bas-Lag, #1)"
2488,4070493,1599903385,Carrie Jones,2008,"Need (Need, #1)"
2489,2442,61020613,Terry Pratchett,1991,"Witches Abroad (Discworld, #12; Witches #3)"
2490,721012,014043769X,"Geoffrey Crayon, Washington Irving, William L. Hedges",1819,The Legend of Sleepy Hollow and Other Stories
2491,117,441328008,Frank Herbert,1984,Heretics of Dune (Dune Chronicles #5)
2492,772852,515090255,"David Wilkerson, John Sherrill, Elizabeth Sherrill",1963,The Cross and the Switchblade
2493,346087,441015271,Jim Butcher,2007,"Captain's Fury (Codex Alera, #4)"
2494,9912994,385671105,Chuck Palahniuk,2011,"Damned (Damned, #1)"
2495,222458,439443822,Cynthia Lord,2006,Rules
2496,8584686,307263991,Karen Russell,2011,Swamplandia!
2497,49353,075280944X,Michael Connelly,1995,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)"
2498,2715,142001619,Mark Kurlansky,2002,Salt: A World History
2499,31173,037575850X,"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre",1853,Villette
2500,10552338,61977969,Neal Stephenson,2011,Reamde
2501,34502,057506689X,Terry Pratchett,1994,"Soul Music (Discworld, #16; Death, #3)"
2502,14740588,,Janet Evanovich,2012,"Notorious Nineteen (Stephanie Plum, #19)"
2503,6117055,059306173X,Richard Dawkins,2009,The Greatest Show on Earth: The Evidence for Evolution
2504,392297,1593072937,Frank Miller,1992,"Sin City, Vol. 1: The Hard Goodbye (Sin City, #1)"
2505,356896,055327757X,Og Mandino,1968,The Greatest Salesman in the World
2506,3758,014200202X,Ian Fleming,1953,"Casino Royale (James Bond, #1)"
2507,83144,6513220,Paullina Simons,2001,"The Bronze Horseman (The Bronze Horseman, #1)"
2508,11346,452283868,Toni Morrison,1973,Sula
2509,17999892,,A.G. Riddle,2013,"The Atlantis Gene (The Origin Mystery, #1)"
2510,7148256,1416563725,Philippa Gregory,2010,"The Red Queen (The Plantagenet and Tudor Novels, #3)"
2511,6642402,425233383,Julie James,2010,"Something About You (FBI/US Attorney, #1)"
2512,105552,7169914,Dr. Seuss,1970,Mr. Brown Can Moo! Can You?
2513,10607,034547063X,"Stephen King, Peter Straub",2001,"Black House (The Talisman, #2)"
2514,15719,785123113,"Neil Gaiman, Andy Kubert, Richard Isanove, Peter Sanderson",2003,Marvel 1602
2515,26722,743270371,Vince Flynn,2006,"Act of Treason (Mitch Rapp, #9)"
2516,13330761,307959945,Peter Heller,2012,The Dog Stars
2517,19494,,John le Carré,1963,The Spy Who Came In from the Cold
2518,133664,441013406,Jim Butcher,2005,"Academ's Fury (Codex Alera, #2)"
2519,13162,446676438,James Patterson,1998,"When the Wind Blows (When the Wind Blows, #1)"
2520,6443834,4103534222,"Haruki Murakami, 村上 春樹",2009,"1Q84 BOOK 1 (1Q84, #1)"
2521,4004,722534876,"Paulo Coelho, Alan R. Clarke",1987,The Pilgrimage
2522,383028,385336691,Lee Child,2006,"The Hard Way (Jack Reacher, #10)"
2523,231821,440226708,Sheila Burnford,1960,The Incredible Journey
2524,13529,143036661,Geraldine Brooks,2004,March
2525,13359067,307749606,"Lee Child, Dick Hill",2012,"A Wanted Man (Jack Reacher, #17)"
2526,22369,1401209149,"Grant Morrison, Frank Quitely",2007,"All-Star Superman, Vol. 1"
2527,12177850,1780484259,George R.R. Martin,2000,"A Song of Ice and Fire (A Song of Ice and Fire, #1-5)"
2528,16158558,425259854,Nora Roberts,2013,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)"
2529,7198988,312590970,Alyson Noel,2010,"Dark Flame (The Immortals, #4)"
2530,25734248,1101990260,Fiona Barton,2016,The Widow
2531,6255144,545060451,Patrick Carman,2009,"The Black Circle (The 39 Clues, #5)"
2532,15820748,62248162,Kiera Cass,2013,"The Prince (The Selection, #0.5)"
2533,16069030,374384681,Marie Rutkoski,2014,"The Winner's Curse (The Winner's Trilogy, #1)"
2534,71332,679766758,Sapphire,1996,Push
2535,17465515,1609451341,"Elena Ferrante, Ann Goldstein",2012,The Story of a New Name (The Neapolitan Novels #2)
2536,70539,345413970,Arthur C. Clarke,1982,"2010: Odyssey Two (Space Odyssey, #2)"
2537,6406018,759530017,Atsushi Ohkubo,2004,"Soul Eater, Vol. 01 (Soul Eater, #1)"
2538,15803059,1451645821,William Kent Krueger,2013,Ordinary Grace
2539,14839,446611778,David Baldacci,2001,Last Man Standing
2540,118944,1596431520,Gene Luen Yang,2006,American Born Chinese
2541,1335184,307001040,"Eugene Bradley Coco, Ron Dias, Walt Disney Company",1960,Peter Pan (A Little Golden Book)
2542,15990969,991686004,K.A. Tucker,2012,"Ten Tiny Breaths (Ten Tiny Breaths, #1)"
2543,7141642,1400065453,David Mitchell,2010,The Thousand Autumns of Jacob de Zoet
2544,18525,486282082,Christopher Marlowe,1604,Dr. Faustus
2545,84145,312984839,Sherrilyn Kenyon,2003,Dance with the Devil (Dark-Hunter #3)
2546,6614,786887079,Candace Bushnell,2005,Lipstick Jungle
2547,79379,446611212,James Patterson,2001,"Violets Are Blue (Alex Cross, #7)"
2548,180116,671791540,"Anthony Robbins, Tony Robbins, Frederick L. Covan",1992,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!"
2549,30246,515134457,Laurell K. Hamilton,1998,"Blue Moon (Anita Blake, Vampire Hunter, #8)"
2550,30242,515134473,Laurell K. Hamilton,1998,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)"
2551,19286669,1250010713,Diane Chamberlain,2014,"The Silent Sister (Riley MacPherson, #1)"
2552,9597,385333781,Kurt Vonnegut Jr.,1952,Player Piano
2553,10155,812967259,Arthur Conan Doyle,1912,"The Lost World (Professor Challenger, #1)"
2554,34511,,Terry Pratchett,2003,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)"
2555,60931,807083690,Octavia E. Butler,1979,Kindred
2556,8282,60885424,"Laura Ingalls Wilder, Garth Williams",1940,"The Long Winter (Little House, #6)"
2557,525488,310247454,"Henry Cloud, John Townsend",1992,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life"
2558,17378508,545424968,Maggie Stiefvater,2014,"Blue Lily, Lily Blue (The Raven Cycle, #3)"
2559,43945,99399016,"Philip Roth, Luca Marinelli",1969,Portnoy's Complaint
2560,815716,785274316,"John C. Maxwell, Zig Ziglar",1998,The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You
2561,51019,385491026,Margaret Atwood,1988,Cat's Eye
2562,15783307,,J. Sterling,2012,"The Perfect Game (The Perfect Game, #1)"
2563,7540092,1406310271,Patrick Ness,2010,"Monsters of Men (Chaos Walking, #3)"
2564,8647,1841492051,Orson Scott Card,2005,"Shadow of the Giant (Ender's Shadow, #4)"
2565,10128428,545027896,Brian Selznick,2011,Wonderstruck
2566,748862,446519138,Sarah Ban Breathnach,1995,Simple Abundance:  A Daybook of Comfort and Joy
2567,9917938,1442429984,Moira Young,2011,"Blood Red Road (Dust Lands, #1)"
2568,13131,316014796,"James Patterson, Maxine Paetro",2007,"The 6th Target (Women's Murder Club, #6)"
2569,40395,143104888,"Edgar Rice Burroughs, John Seelye",1912,"A Princess of Mars (Barsoom, #1)"
2570,17262203,385528787,Margaret Atwood,2013,"MaddAddam (MaddAddam, #3)"
2571,77770,60264802,"Laura Ingalls Wilder, Garth Williams",1943,"These Happy Golden Years (Little House, #8)"
2572,19596,812971426,Victoria Finlay,2003,Color: A Natural History of the Palette
2573,5357,99481685,John Grisham,2001,Skipping Christmas
2574,24244,446613444,Michael Connelly,1993,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)"
2575,12022079,312577206,Kristin Hannah,2012,Home Front
2576,16117506,1476731535,Christina Lauren,2013,"Beautiful Stranger (Beautiful Bastard, #2)"
2577,127459,385730306,Libba Bray,2007,"The Sweet Far Thing (Gemma Doyle, #3)"
2578,5197,375702709,Ernest J. Gaines,1993,A Lesson Before Dying
2579,178357,349119759,David Sedaris,1998,SantaLand Diaries
2580,24820165,1455520616,Nicholas Sparks,2015,See Me
2581,7415016,385342047,Sophie Kinsella,2010,"Mini Shopaholic (Shopaholic, #6)"
2582,857448,60268654,"Gene Zion, Margaret Bloy Graham",1956,Harry the Dirty Dog
2583,18144115,145161778X,Jennifer Weiner,2014,All Fall Down
2584,393199,015626224X,George Orwell,1933,Down and Out in Paris and London
2585,6081685,1427814031,Hiro Fujiwara,2006,"Maid-sama! Vol. 01 (Maid-sama!, #1)"
2586,381102,1551924013,Nick Bantock,1991,Griffin and Sabine (Griffin & Sabine #1)
2587,14061957,080509461X,Leigh Bardugo,2014,"Ruin and Rising (Shadow and Bone, #3)"
2588,3503947,9773513912,أحمد خالد توفيق,2008,يوتوبيا
2589,421549,743294254,Jennifer Weiner,2000,Certain Girls (Cannie Shapiro #2)
2590,13152194,030794932X,Cheryl Strayed,2012,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar
2591,743599,440244161,Karen Marie Moning,1999,"Beyond the Highland Mist (Highlander, #1)"
2592,15654,451203267,Ann Rule,1980,The Stranger Beside Me: Ted Bundy The Shocking Inside Story
2593,3054684,61284408,Claudia Gray,2009,"Stargazer (Evernight, #2)"
2594,7668,606298231,Michael Crichton,1992,Rising Sun
2595,136167,440060672,Sidney Sheldon,1973,The Other Side of Midnight (Midnight #1)
2596,7936809,316069485,Michael Connelly,2010,"The Reversal (Harry Bosch, #16; Mickey Haller, #4; Harry Bosch Universe, #19)"
2597,10065,380731509,"Louis Sachar, Joel Schick",1989,Wayside School Is Falling Down (Wayside School #2)
2598,7274337,307713547,"Julie Orringer, Arthur Morey",2010,The Invisible Bridge
2599,15861491,61974618,Pittacus Lore,2013,"The Fall of Five (Lorien Legacies, #4)"
2600,56759,141439785,"Thomas Hardy, Keith Wilson",1886,The Mayor of Casterbridge
2601,8732,,John Steinbeck,1933,The Red Pony
2602,498389,99478536,Jo Nesbø,2003,"The Devil's Star (Harry Hole, #5)"
2603,5159,425169693,Alice Hoffman,1997,Here on Earth
2604,119091,679436545,"Anne Rice, Tim Curry",1994,"Taltos (Lives of the Mayfair Witches, #3)"
2605,190361,,Laurell K. Hamilton,2000,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)"
2606,9268487,345503821,Peter V. Brett,2013,"The Daylight War (Demon Cycle, #3)"
2607,1248179,385515049,John Grisham,2008,The Appeal
2608,13830,689878583,Tamora Pierce,1986,"The Woman Who Rides Like a Man (Song of the Lioness, #3)"
2609,8680417,034552425X,Ben Aaronovitch,2011,"Midnight Riot (Peter Grant, #1)"
2610,9303,60090375,Marian Keyes,1996,Lucy Sullivan Is Getting Married
2611,34501,055255264X,Terry Pratchett,2004,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)"
2612,50365,60786523,Vikram Seth,1993,"A Suitable Boy (A Suitable Boy, #1)"
2613,22738563,,Chimamanda Ngozi Adichie,2014,We Should All Be Feminists
2614,8087906,1841497975,Patricia Briggs,2011,"River Marked (Mercy Thompson, #6)"
2615,4135,446578843,Amy Sedaris,2006,I Like You: Hospitality Under the Influence
2616,22320,425198685,William Gibson,2003,"Pattern Recognition (Blue Ant, #1)"
2617,21936809,62267523,Peter  Swanson,2015,The Kind Worth Killing
2618,11525,761104844,Patricia Schultz,2003,"1,000 Places to See Before You Die"
2619,355916,60577371,"Angie Sage, Mark Zug",2007,"Physik (Septimus Heap, #3)"
2620,6667,141311401,"Roald Dahl, Quentin Blake",1984,Boy: Tales of Childhood
2621,10890,385496095,Anne Lamott,1999,Traveling Mercies: Some Thoughts on Faith
2622,184657,1416548009,Vince Flynn,2004,"Memorial Day (Mitch Rapp, #7)"
2623,13836,1416903437,Tamora Pierce,1992,"Wild Magic (Immortals, #1)"
2624,30013,,Isaac Asimov,1988,Prelude to Foundation
2625,56728,1859855423,Max Lucado,1997,"You Are Special (Wemmicksville, #1)"
2626,18798983,399171614,Renee Ahdieh,2015,"The Wrath and the Dawn (The Wrath and the Dawn, #1)"
2627,6260997,307267148,"Nicholas D. Kristof, Sheryl WuDunn",2008,Half the Sky: Turning Oppression into Opportunity for Women Worldwide
2628,10798418,316127256,"Daniel Handler, Maira Kalman",2011,Why We Broke Up
2629,18243700,1408852594,Sarah J. Maas,2014,"The Assassin's Blade (Throne of Glass, #0.1-0.5)"
2630,2807199,1400064759,Curtis Sittenfeld,2008,American Wife
2631,29394,441014348,Jim Butcher,2006,"Cursor's Fury (Codex Alera, #3)"
2632,334176,449912558,Mary Doria Russell,1996,"The Sparrow (The Sparrow, #1)"
2633,10910,743422449,Jodi Picoult,1996,Mercy
2634,20727654,1477823832,Charlie N. Holmberg,2014,"The Paper Magician (The Paper Magician Trilogy, #1)"
2635,6023056,61728977,Steve Harvey,2009,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment"
2636,10335318,385526261,Candice Millard,2011,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President"
2637,89724,143039970,"Shirley Jackson, Jonathan Lethem",1962,We Have Always Lived in the Castle
2638,56405,1591451876,Emerson Eggerichs,2004,Love and Respect: The Love She Most Desires
2639,2761626,316166294,Michael Connelly,2008,"The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #17)"
2640,216442,553560719,Timothy Zahn,1992,Dark Force Rising
2641,17262159,385344341,Lee Child,2013,"Never Go Back (Jack Reacher, #18)"
2642,183656,60575808,Gail Carson Levine,2001,The Two Princesses of Bamarre
2643,228630,60929782,"Richard Wright, Jerry W. Ward Jr.",1945,Black Boy
2644,5167,446678457,Lalita Tademy,2001,Cane River
2645,43884,765305240,Terry Goodkind,2006,"Phantom (Sword of Truth, #10)"
2646,29582,553587579,Isaac Asimov,1986,Foundation and Earth (Foundation #5)
2647,10058,553384155,"James D. Bradley, Ron Powers",2000,Flags of Our Fathers
2648,99111,525444475,"A.A. Milne, Ernest H. Shepard",1926,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)"
2649,112803,807059099,Mahatma Gandhi,1940,The Story of My Experiments With Truth
2650,2265,425179613,"Lance Armstrong, Sally Jenkins",1999,It's Not About the Bike: My Journey Back to Life
2651,45546,074347788X,Stephen E. Ambrose,1996,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier
2652,18803640,224097008,Helen Macdonald,2015,H is for Hawk
2653,21423525,034089699X,David Nicholls,2014,Us
2654,66695,1560760478,R.A. Salvatore,1990,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)"
2655,6393082,785135804,"Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata",2009,"Ender's Game, Volume 1: Battle School (Ender's Saga)"
2656,6218007,1421527553,"Karuho Shiina, Tomo Kimura",2006,"Kimi ni Todoke: From Me to You, Vol. 1"
2657,182425,553580221,Dean Koontz,1999,False Memory
2658,34510,552152943,Terry Pratchett,1990,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)"
2659,12513614,,C.J. Roberts,2011,"Captive in the Dark (The Dark Duet, #1)"
2660,81959,1585425648,James Allen,1902,As a Man Thinketh
2661,2082136,393064646,Mary Roach,2008,Bonk: The Curious Coupling of Science and Sex
2662,544257,451222385,Rachel Caine,2007,"Midnight Alley (The Morganville Vampires, #3)"
2663,23278537,553418777,"Nina George, Simon Pare",2013,The Little Paris Bookshop
2664,13562049,224097377,Ian McEwan,2012,Sweet Tooth
2665,17333880,,Abbi Glines,2013,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)"
2666,19675,6479758,Tom Clancy,1996,"Executive Orders (Jack Ryan Universe, #9)"
2667,8592946,310321913,Ann Voskamp,2011,One Thousand Gifts: A Dare to Live Fully Right Where You Are
2668,156427,747545251,Robert Bloch,1959,Psycho
2669,45100,000649885X,Robin Hobb,1998,"Ship of Magic (Liveship Traders, #1)"
2670,148337,1560254556,"Alistair MacLean, Clint Willis",1967,Where Eagles Dare 
2671,41977,99498596,Maeve Binchy,1990,Circle of Friends
2672,23513349,1502784270,Rupi Kaur,2014,Milk and Honey
2673,5720,425170349,Tom Clancy,1998,"Rainbow Six (Jack Ryan Universe, #10)"
2674,16788,60515228,Neil Gaiman,2006,Fragile Things: Short Fictions and Wonders
2675,8196732,749942010,Rosamund Lupton,2010,Sister
2676,20518872,765377063,"Liu Cixin, Ken Liu",2007,"The Three-Body Problem (Remembrance of Earth’s Past, #1)"
2677,48002,61031321,Terry Pratchett,2001,"Thief of Time (Discworld, #26; Death, #5)"
2678,154798,1401201911,"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",2003,Superman: Red Son
2679,227593,385721420,Julia Glass,2002,Three Junes
2680,52309,743255062,"Benjamin Franklin, Lewis Leary",1791,The Autobiography of Benjamin Franklin
2681,1858013,525950494,Timothy J. Keller,2007,The Reason for God: Belief in an Age of Skepticism
2682,12891107,1937007472,Mark  Lawrence,2012,"King of Thorns (The Broken Empire, #2)"
2683,12160906,1250000971,Jeffrey Archer,2012,"The Sins of the Father (The Clifton Chronicles, #2)"
2684,187811,60725117,Meg Cabot,2000,"Shadowland (The Mediator, #1)"
2685,3047849,61566128,Sara Shepard,2009,"Killer (Pretty Little Liars, #6)"
2686,4898,1591396190,"W. Chan Kim, Renée Mauborgne",2004,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant
2687,6431790,316036196,James Patterson,2010,"Fang (Maximum Ride, #6)"
2688,8546358,553807226,Sarah Addison Allen,2011,The Peach Keeper
2689,815234,152026320,"Audrey Wood, Don    Wood",1984,The Napping House
2690,27239265,,Matthew FitzSimmons,2015,"The Short Drop (Gibson Vaughn, #1)"
2691,33453,60590297,Christopher Moore,2007,"You Suck (A Love Story, #2)"
2692,18104607,,Jamie McGuire,2014,"Beautiful Oblivion (The Maddox Brothers, #1)"
2693,77711,812515285,Vernor Vinge,1992,"A Fire Upon the Deep (Zones of Thought, #1)"
2694,6709,1577311957,Eckhart Tolle,1999,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now"
2695,19469,038532328X,Caroline B. Cooney,1990,"The Face on the Milk Carton (Janie Johnson, #1)"
2696,413158,067984483X,Robert Lopshire,1960,Put Me in the Zoo
2697,6448470,61935085,Sophie Jordan,2010,"Firelight (Firelight, #1)"
2698,9809,156453800,"Italo Calvino, William Weaver",1972,Invisible Cities
2699,11096647,,Jessica Park,2011,"Flat-Out Love (Flat-Out Love, #1)"
2700,17905709,1741666708,Richard Flanagan,2013,The Narrow Road to the Deep North
2701,26582,452281423,"A.N. Roquelaure, Anne Rice",1983,"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)"
2702,6114607,143116231,Jennifer Worth,2002,"The Midwife: A Memoir of Birth, Joy, and Hard Times"
2703,10882,222109073X,Hunter S. Thompson,1966,Hell's Angels: A Strange and Terrible Saga
2704,9758764,1451617720,Jennifer Weiner,2010,Then Came You
2705,395922,61020001,L.J. Smith,1991,"The Awakening (The Vampire Diaries, #1)"
2706,73070,380776839,Susan Elizabeth Phillips,1994,"It Had to Be You (Chicago Stars, #1)"
2707,13707738,393343448,Michael   Lewis,2011,Boomerang: Travels in the New Third World
2708,7227174,743294270,Jennifer Weiner,2010,Fly Away Home
2709,14662,140447644,"Stendhal, Roger Gard",1830,The Red and the Black
2710,16183,743269268,Philippa Gregory,2004,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)"
2711,332775,340893605,Catherine Fisher,2007,"Incarceron (Incarceron, #1)"
2712,10800916,312624689,C.C. Hunter,2011,"Awake at Dawn (Shadow Falls, #2)"
2713,452157,451213041,Bev Vincent,2004,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus
2714,9462795,62011995,Josephine Angelini,2011,"Starcrossed (Starcrossed, #1)"
2715,7739934,312590989,Alyson Noel,2010,"Night Star (The Immortals, #5)"
2716,67238,553282980,N.H. Kleinbaum,1988,Dead Poets Society
2717,23745132,,Emily Bleeker,2015,Wreckage
2718,63720,552154229,Terry Pratchett,1999,"The Fifth Elephant (Discworld, #24; City Watch, #5)"
2719,1524173,1741661285,John Flanagan,2006,"The Sorcerer in the North (Ranger's Apprentice, #5)"
2720,639864,876120834,Paramahansa Yogananda,1946,Autobiography of a Yogi
2721,9595650,345522494,Kevin Hearne,2011,"Hexed (The Iron Druid Chronicles, #2)"
2722,1325218,590431978,"Alvin Schwartz, Stephen Gammell",1981,"Scary Stories to Tell in the Dark (Scary Stories, #1)"
2723,26109394,525955097,Harlan Coben,2016,Fool Me Once
2724,27323,679721037,John Hersey,1946,Hiroshima
2725,6316171,316041440,Jennifer Brown,2009,Hate List
2726,15283043,62235656,Kasie West,2013,The Distance Between Us
2727,3873,517223120,Karen Armstrong,1975,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam"
2728,16131032,316129070,James S.A. Corey,2013,"Abaddon's Gate (The Expanse, #3)"
